# t client_1 client_2 node_7_network node_5_network node_2_network node_0_cpu node_1_cpu node_4_cpu node_6_network node_3_io node_6_io node_2_io node_4_io node_5_cpu node_5_io node_6_cpu node_7_cpu node_4_network node_7_io node_3_network node_0_io node_2_cpu node_3_cpu node_1_io node_0_network node_1_network  cpu_max cpu_min cpu_avg io_max io_min io_avg net_max net_min net_avg
36.1 46290.0 46810.0 0.000666 0.000666 0.000667 0.0 0.996492 1.0 0.000661 0.0 0.0 0.0 0.0 1.0 0.0 0.991501 1.0 0.000667 0.0 0.000658 0.0 1.0 0.991678 0.0 0.0 0.000664 1.0 0.991501 0.997095857143 0.0 0.0 0.0 0.000667 0.000658 0.000664142857143 
38.1 45560.0 45770.0 0.000667 0.000666 0.00066 0.0 1.0 0.988625 0.000639 0.0 0.0 0.0 0.0 1.0 0.0 0.952728 1.0 0.00066 0.0 0.000631 0.0 0.983006 0.943049 0.0 0.0 0.000666 1.0 0.943049 0.981058285714 0.0 0.0 0.0 0.000667 0.000631 0.000655571428571 
40.1 46790.0 45530.0 0.000661 0.000634 0.000665 0.0 1.0 1.0 0.000643 0.0 0.0 0.0 0.0 0.956688 0.0 0.963603 0.998056 0.00067 0.0 0.000666 0.0 0.997621 1.0 0.0 0.0 0.000666 1.0 0.956688 0.987995428571 0.0 0.0 0.0 0.00067 0.000634 0.000657857142857 
42.1 45890.0 46530.0 0.000645 0.000666 0.000666 0.0 0.968431 1.0 0.000667 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.963744 0.000668 0.0 0.000667 0.0 1.0 1.0 0.0 0.0 0.000639 1.0 0.963744 0.990310714286 0.0 0.0 0.0 0.000668 0.000639 0.000659714285714 
44.1 46690.0 46360.0 0.000666 0.000667 0.000669 0.0 1.0 1.0 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.991224 0.000666 0.0 0.000658 0.0 1.0 0.992505 0.0 0.0 0.000666 1.0 0.991224 0.997675571429 0.0 0.0 0.0 0.000669 0.000658 0.000665428571429 
46.1 46650.0 46250.0 0.000651 0.000666 0.000666 0.0 1.0 0.987681 0.000667 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.97475 0.000654 0.0 0.000667 0.0 1.0 1.0 0.0 0.0 0.000666 1.0 0.97475 0.994633 0.0 0.0 0.0 0.000667 0.000651 0.000662428571429 
48.1 46160.0 46420.0 0.000654 0.000658 0.000666 0.0 1.0 1.0 0.000653 0.0 0.0 0.0 0.0 0.986751 0.0 0.977686 0.980066 0.000667 0.0 0.000667 0.0 1.0 1.0 0.0 0.0 0.000665 1.0 0.977686 0.992071857143 0.0 0.0 0.0 0.000667 0.000653 0.000661428571429 
50.1 46430.0 46420.0 0.000658 0.000666 0.000667 0.0 1.0 0.995249 0.000662 0.0 0.0 0.0 0.0 1.0 0.0 0.987367 0.986066 0.00066 0.0 0.000666 0.0 1.0 0.999006 0.0 0.0 0.000666 1.0 0.986066 0.995384 0.0 0.0 0.0 0.000667 0.000658 0.000663571428571 
52.1 46240.0 45900.0 0.000666 0.000657 0.000667 0.0 0.955497 1.0 0.000645 0.0 0.0 0.0 0.0 0.991434 0.0 0.963754 1.0 0.000666 0.0 0.000666 0.0 1.0 1.0 0.0 0.0 0.000633 1.0 0.955497 0.987240714286 0.0 0.0 0.0 0.000667 0.000633 0.000657142857143 
54.1 46060.0 46910.0 0.000666 0.000666 0.000666 0.0 1.0 1.0 0.000653 0.0 0.0 0.0 0.0 1.0 0.0 0.976684 0.996565 0.000666 0.0 0.000656 0.0 1.0 0.991496 0.0 0.0 0.000667 1.0 0.976684 0.994963571429 0.0 0.0 0.0 0.000667 0.000653 0.000662857142857 
56.1 46930.0 46260.0 0.000653 0.000666 0.000666 0.0 1.0 0.999875 0.000663 0.0 0.0 0.0 0.0 1.0 0.0 0.996934 0.985123 0.000668 0.0 0.000666 0.0 1.0 1.0 0.0 0.0 0.000666 1.0 0.985123 0.997418857143 0.0 0.0 0.0 0.000668 0.000653 0.000664 
58.1 46580.0 46660.0 0.00067 0.000667 0.000666 0.0 1.0 1.0 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 1.0 0.000666 0.0 0.000668 0.0 1.0 0.999936 0.0 0.0 0.000667 1.0 0.999936 0.999990857143 0.0 0.0 0.0 0.00067 0.000666 0.000667142857143 
60.1 4100.0 37700.0 0.019659 0.014696 0.015928 0.0 0.46956 0.467518 0.015985 0.976841 0.975097 0.977465 0.982468 0.488559 0.972468 0.502122 0.422998 0.022831 0.983841 0.021554 0.0 0.458891 0.427955 0.979222 0.0 0.019055 0.502122 0.422998 0.462514714286 0.983841 0.972468 0.978200285714 0.022831 0.014696 0.0185297142857 
