# t client_1 client_2 node_7_network node_5_network node_2_network node_0_cpu node_1_cpu node_4_cpu node_6_network node_3_io node_6_io node_2_io node_4_io node_5_cpu node_5_io node_6_cpu node_7_cpu node_4_network node_7_io node_3_network node_0_io node_2_cpu node_3_cpu node_1_io node_0_network node_1_network  cpu_max cpu_min cpu_avg io_max io_min io_avg net_max net_min net_avg
36.1 46130.0 46910.0 0.000666 0.000665 0.000641 0.0 1.0 1.0 0.000666 0.0 0.0 0.0 0.0 0.999999 0.0 1.0 1.0 0.000667 0.0 0.000669 0.0 0.966239 1.0 0.0 0.0 0.000666 1.0 0.966239 0.995176857143 0.0 0.0 0.0 0.000669 0.000641 0.000662857142857 
38.1 45580.0 46070.0 0.000626 0.000666 0.000657 0.0 1.0 1.0 0.000654 0.0 0.0 0.0 0.0 1.0 0.0 0.96925 0.942498 0.000666 0.0 0.000653 0.0 0.985674 0.978444 0.0 0.0 0.000666 1.0 0.942498 0.982266571429 0.0 0.0 0.0 0.000666 0.000626 0.000655428571429 
40.1 46590.0 45990.0 0.000666 0.000655 0.000664 0.0 0.995565 1.0 0.000666 0.0 0.0 0.0 0.0 0.987185 0.0 1.0 1.0 0.000667 0.0 0.000657 0.0 0.995938 0.977874 0.0 0.0 0.000668 1.0 0.977874 0.993794571429 0.0 0.0 0.0 0.000668 0.000655 0.000663285714286 
42.1 45850.0 46470.0 0.000666 0.000645 0.000639 0.0 0.987121 1.0 0.000668 0.0 0.0 0.0 0.0 0.975654 0.0 0.99463 1.0 0.000666 0.0 0.000666 0.0 0.956631 1.0 0.0 0.0 0.000655 1.0 0.956631 0.987719428571 0.0 0.0 0.0 0.000668 0.000639 0.000657857142857 
44.1 46510.0 44850.0 0.000645 0.000657 0.000633 0.0 1.0 0.998468 0.000636 0.0 0.0 0.0 0.0 0.991437 0.0 0.942498 0.970556 0.00067 0.0 0.000666 0.0 0.949685 1.0 0.0 0.0 0.000667 1.0 0.942498 0.978949142857 0.0 0.0 0.0 0.00067 0.000633 0.000653428571429 
46.1 46350.0 46630.0 0.000666 0.000649 0.000664 0.0 0.996563 1.0 0.000667 0.0 0.0 0.0 0.0 0.978877 0.0 1.0 1.0 0.000667 0.0 0.000669 0.0 0.999188 1.0 0.0 0.0 0.000666 1.0 0.978877 0.996375428571 0.0 0.0 0.0 0.000669 0.000649 0.000664 
48.1 46550.0 46120.0 0.00066 0.000666 0.000655 0.0 0.987626 1.0 0.000667 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.983622 0.000666 0.0 0.000665 0.0 0.988628 0.997001 0.0 0.0 0.00066 1.0 0.983622 0.993839571429 0.0 0.0 0.0 0.000667 0.000655 0.000662714285714 
50.1 45670.0 47010.0 0.000667 0.000663 0.000666 0.0 0.963128 1.0 0.000666 0.0 0.0 0.0 0.0 0.988436 0.0 1.0 1.0 0.000666 0.0 0.000667 0.0 1.0 0.999813 0.0 0.0 0.000638 1.0 0.963128 0.993053857143 0.0 0.0 0.0 0.000667 0.000638 0.000661857142857 
52.1 46650.0 46390.0 0.000666 0.00066 0.000664 0.0 1.0 0.998314 0.000657 0.0 0.0 0.0 0.0 0.988309 0.0 0.996937 1.0 0.000667 0.0 0.000665 0.0 1.0 0.997059 0.0 0.0 0.000666 1.0 0.988309 0.997231285714 0.0 0.0 0.0 0.000667 0.000657 0.000663571428571 
54.1 45540.0 47200.0 0.00065 0.000663 0.000666 0.0 1.0 0.990376 0.000666 0.0 0.0 0.0 0.0 0.996937 0.0 1.0 0.97625 0.000664 0.0 0.000667 0.0 0.999063 1.0 0.0 0.0 0.000667 1.0 0.97625 0.994660857143 0.0 0.0 0.0 0.000667 0.00065 0.000663285714286 
