# t client_1 client_2 node_7_network node_5_network node_2_network node_0_cpu node_1_cpu node_4_cpu node_6_network node_3_io node_6_io node_2_io node_4_io node_5_cpu node_5_io node_6_cpu node_7_cpu node_4_network node_7_io node_3_network node_0_io node_2_cpu node_3_cpu node_1_io node_0_network node_1_network  cpu_max cpu_min cpu_avg io_max io_min io_avg net_max net_min net_avg
36.1 46010.0 46710.0 0.000666 0.000648 0.000663 0.0 1.0 1.0 0.000663 0.0 0.0 0.0 0.0 0.977556 0.0 0.986984 0.998748 0.000663 0.0 0.000667 0.0 0.993197 1.0 0.0 0.0 0.000666 1.0 0.977556 0.993783571429 0.0 0.0 0.0 0.000667 0.000648 0.000662285714286 
38.1 46200.0 44510.0 0.000634 0.000651 0.000666 0.0 1.0 0.956747 0.000653 0.0 0.0 0.0 0.0 0.977439 0.0 0.972129 0.951061 0.000637 0.0 0.000632 0.0 1.0 0.947773 0.0 0.0 0.000667 1.0 0.947773 0.972164142857 0.0 0.0 0.0 0.000667 0.000632 0.000648571428571 
40.1 46280.0 45910.0 0.000666 0.000637 0.00065 0.0 1.0 1.0 0.000666 0.0 0.0 0.0 0.0 0.954379 0.0 1.0 1.0 0.000667 0.0 0.000667 0.0 0.968749 1.0 0.0 0.0 0.000667 1.0 0.954379 0.989018285714 0.0 0.0 0.0 0.000667 0.000637 0.00066 
42.1 46410.0 46610.0 0.000666 0.000659 0.000661 0.0 1.0 1.0 0.000657 0.0 0.0 0.0 0.0 0.992241 0.0 0.990937 1.0 0.000667 0.0 0.000667 0.0 0.988434 1.0 0.0 0.0 0.000666 1.0 0.988434 0.995944571429 0.0 0.0 0.0 0.000667 0.000657 0.000663285714286 
44.1 45640.0 47040.0 0.000662 0.000666 0.000667 0.0 0.97362 1.0 0.000661 0.0 0.0 0.0 0.0 1.0 0.0 0.984 0.997079 0.000666 0.0 0.000663 0.0 1.0 0.997069 0.0 0.0 0.000643 1.0 0.97362 0.993109714286 0.0 0.0 0.0 0.000667 0.000643 0.000661142857143 
46.1 46240.0 46400.0 0.000653 0.000656 0.000666 0.0 1.0 1.0 0.000667 0.0 0.0 0.0 0.0 0.982732 0.0 1.0 0.98059 0.000666 0.0 0.000658 0.0 1.0 0.985941 0.0 0.0 0.000667 1.0 0.98059 0.992751857143 0.0 0.0 0.0 0.000667 0.000653 0.000661857142857 
48.1 46510.0 46630.0 0.000666 0.000653 0.000666 0.0 0.990716 0.99618 0.000668 0.0 0.0 0.0 0.0 0.985812 0.0 1.0 1.0 0.00066 0.0 0.000667 0.0 1.0 1.0 0.0 0.0 0.000651 1.0 0.985812 0.996101142857 0.0 0.0 0.0 0.000668 0.000651 0.000661571428571 
50.1 46370.0 45820.0 0.000667 0.000666 0.000646 0.0 0.954274 1.0 0.000666 0.0 0.0 0.0 0.0 1.0 0.0 1.0 1.0 0.000666 0.0 0.000654 0.0 0.970016 0.98037 0.0 0.0 0.000628 1.0 0.954274 0.98638 0.0 0.0 0.0 0.000667 0.000628 0.000656142857143 
52.1 45190.0 47460.0 0.000667 0.000664 0.000658 0.0 0.992618 1.0 0.000648 0.0 0.0 0.0 0.0 0.993993 0.0 0.97525 1.0 0.000666 0.0 0.000666 0.0 0.985438 1.0 0.0 0.0 0.000655 1.0 0.97525 0.992471285714 0.0 0.0 0.0 0.000667 0.000648 0.000660571428571 
54.1 46530.0 46360.0 0.000666 0.000649 0.000666 0.0 0.985874 1.0 0.000666 0.0 0.0 0.0 0.0 0.980939 0.0 1.0 1.0 0.000667 0.0 0.000666 0.0 1.0 0.999189 0.0 0.0 0.000661 1.0 0.980939 0.995143142857 0.0 0.0 0.0 0.000667 0.000649 0.000663 
